time,LFP power,stage (number),wake (0) vs sleep (1),stage (full),LFP freq band,LFP freq (Hz)
1660091822.0,0.4258335521134156,0,0,wake,beta,27.34
1660092422.0,0.739826726174849,0,0,wake,beta,27.34
1660093022.0,0.6048831714360725,0,0,wake,beta,27.34
1660093622.0,0.5103701758991861,0,0,wake,beta,27.34
1660094222.0,0.355473877658178,0,0,wake,beta,27.34
1660094822.0,0.38724074560252036,0,0,wake,beta,27.34
1660095422.0,0.509845103701759,0,0,wake,beta,27.34
1660096022.0,0.4709897610921502,0,0,wake,beta,27.34
1660096622.0,0.43686006825938567,0,0,wake,beta,27.34
1660097222.0,0.36938829088999736,0,0,wake,beta,27.34
1660097822.0,0.5775794171698608,0,0,wake,beta,27.34
1660098422.0,0.7387765817799947,0,0,wake,beta,27.34
1660099022.0,0.42163297453399845,0,0,wake,beta,27.34
1660099622.0,0.31793121554213705,0,0,wake,beta,27.34
1660100222.0,0.28248884221580467,0,0,wake,beta,27.34
1660100822.0,0.30060383302704125,0,0,wake,beta,27.34
1660101422.0,0.394854292465214,0,0,wake,beta,27.34
1660102022.0,0.5305854555001313,0,0,wake,beta,27.34
1660102622.0,0.45523759516933576,0,0,wake,beta,27.34
1660103222.0,0.4691520084011552,0,0,wake,beta,27.34
1660103822.0,0.49146757679180886,0,0,wake,beta,27.34
1660104422.0,0.44368600682593856,0,0,wake,beta,27.34
1660105022.0,0.3935416119716461,0,0,wake,beta,27.34
1660105622.0,0.4035179837227619,0,0,wake,beta,27.34
1660106222.0,0.4221580467314256,0,0,wake,beta,27.34
1660106822.0,0.38356524022053035,0,0,wake,beta,27.34
1660107422.0,0.36177474402730375,0,0,wake,beta,27.34
1660108022.0,0.3701758991861381,0,0,wake,beta,27.34
1660108622.0,0.35967445523759517,0,0,wake,beta,27.34
1660109223.0,0.40850616959831976,0,0,wake,beta,27.34
1660109823.0,0.5085324232081911,0,0,wake,beta,27.34
1660110423.0,0.4384352848516671,0,0,wake,beta,27.34
1660111023.0,0.31399317406143346,0,0,wake,beta,27.34
1660111623.0,0.3785770543449724,2,1,light,beta,27.34
1660112223.0,0.4531373063796272,2,1,light,beta,27.34
1660112823.0,0.43817274875295353,3,1,deep,beta,27.34
1660113423.0,0.5111577841953269,3,1,deep,beta,27.34
1660114023.0,0.45917563665003935,3,1,deep,beta,27.34
1660114623.0,0.5376739301653978,4,1,rem,beta,27.34
1660115223.0,0.32738251509582567,2,1,light,beta,27.34
1660115823.0,0.524022053032292,2,1,light,beta,27.34
1660116423.0,0.40168023103176687,2,1,light,beta,27.34
1660117023.0,0.35389866106589657,2,1,light,beta,27.34
1660117623.0,0.36177474402730375,2,1,light,beta,27.34
1660118223.0,0.3678130742977159,2,1,light,beta,27.34
1660118823.0,0.4090312417957469,2,1,light,beta,27.34
1660119423.0,0.3397217117353636,2,1,light,beta,27.34
1660120023.0,0.4098188500918876,4,1,rem,beta,27.34
1660121223.0,0.3730637962719874,4,1,rem,beta,27.34
1660121823.0,0.3378839590443686,2,1,light,beta,27.34
1660122423.0,0.2995536886321869,2,1,light,beta,27.34
1660123023.0,0.3289577316881071,2,1,light,beta,27.34
1660123623.0,0.29692832764505117,4,1,rem,beta,27.34
1660124823.0,0.27592543974796535,2,1,light,beta,27.34
