time,LFP power,stage (number),wake (0) vs sleep (1),stage (full),LFP freq band,LFP freq (Hz)
1659986717.0,0.2487087802940008,0,0,wake,alpha,10.74
1659987317.0,0.20540325784664282,0,0,wake,alpha,10.74
1659987917.0,0.2244735796583234,0,0,wake,alpha,10.74
1659988517.0,0.22924116011124354,0,0,wake,alpha,10.74
1659989117.0,0.2431466030989273,0,0,wake,alpha,10.74
1659989717.0,0.29996027016289234,0,0,wake,alpha,10.74
1659990317.0,0.26460071513706795,0,0,wake,alpha,10.74
1659990917.0,0.2836710369487485,0,0,wake,alpha,10.74
1659991518.0,0.23718712753277713,0,0,wake,alpha,10.74
1659992118.0,0.21096543504171633,0,0,wake,alpha,10.74
1659992718.0,0.18593563766388557,0,0,wake,alpha,10.74
1659993318.0,0.24155740961462058,0,0,wake,alpha,10.74
1659993918.0,0.24632499006754072,0,0,wake,alpha,10.74
1659995666.0,0.31783869686134286,0,0,wake,alpha,10.74
1659996266.0,0.39213349225268174,0,0,wake,alpha,10.74
1659996866.0,0.3067143424711959,0,0,wake,alpha,10.74
1659997466.0,0.26460071513706795,0,0,wake,alpha,10.74
1659998066.0,0.25546285260230434,0,0,wake,alpha,10.74
1659998666.0,0.26777910210568134,0,0,wake,alpha,10.74
1659999266.0,0.24354390147000396,0,0,wake,alpha,10.74
1659999866.0,0.2729439809296782,0,0,wake,alpha,10.74
1660000466.0,0.24751688518077075,0,0,wake,alpha,10.74
1660001066.0,0.26618990862137465,0,0,wake,alpha,10.74
1660001666.0,0.23758442590385379,0,0,wake,alpha,10.74
1660002266.0,0.2594358363130711,0,0,wake,alpha,10.74
1660002866.0,0.29638458482320224,0,0,wake,alpha,10.74
1660003466.0,0.2665872069924513,0,0,wake,alpha,10.74
1660004066.0,0.3285657528804132,0,0,wake,alpha,10.74
1660004666.0,0.2205005959475566,0,0,wake,alpha,10.74
1660005266.0,0.24791418355184744,0,0,wake,alpha,10.74
1660005866.0,0.24831148192292413,0,0,wake,alpha,10.74
1660006466.0,0.2689709972189114,0,0,wake,alpha,10.74
1660007066.0,0.3154549066348828,0,0,wake,alpha,10.74
1660007666.0,0.31068732618196265,0,0,wake,alpha,10.74
1660008266.0,0.26817640047675806,0,0,wake,alpha,10.74
1660008866.0,0.27532777115613827,0,0,wake,alpha,10.74
1660009466.0,0.23321414382201033,0,0,wake,alpha,10.74
1660010066.0,0.21613031386571316,0,0,wake,alpha,10.74
1660010666.0,0.2487087802940008,0,0,wake,alpha,10.74
